Kingdom,Taxa group,Sector list,Union concern,Incl. in 2021 survey,Species,Illegal trade?,"Total
establishments surveyed",Total number establishments found in,"Percentage of all
establishments found in 2024",Rank 'top 10' for animals and plants separately,"Percentage of all
establishments found in 2021","Total
Online Retailers surveyed","Total Number
Online Retailers found in",Percentage of Online Retailers found in 2024,Percentage of Online Retailers found in 2021,"Total
peer to peer platforms surveyed","Total Number 
Peer-to-peer found in","Percentage of
Peer-to-peer platforms found in 2024","Percentage of
Peer-to-peer platforms found in 2024","Number
OR","Number
PP","Number
OR","Number
PP","Number
OR","Number
PP","Number
OR","Number
PP","Number
OR","Number
PP","Number
OR","Number
PP","Number
OR","Number
PP",Unique records in PP,"Number
PP","Number
PP","Number
PP","Number
PP","Number
PP","Number
PP","Number
PP"
Plants,Terrestrial plants,Horticulture,Proposed,,Acacia mearnsii*,Not illegal (proposed for listing),193,8,4.1,11,,166,4,2.4,,27,4,14.8,,,,,,1,1,1,,2,2,,,,1,7,,,1,,2,,4
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Acacia saligna,Illegal,193,8,4.1,11,7.9,166,4,2.4,7.7,27,4,14.8,10.5,,,,,,1,,,3,2,1,,,1,10,,,2,,3,,5
Animals,Birds,Pet / aquaria,Proposed,,Acridotheres cristatellus*,Not illegal (proposed for listing),213,3,1.4,14,,180,1,0.6,,33,2,6.1,,,,,,1,,,,,,,2,,,2,,,,,,2,
Animals,Birds,Pet / aquaria,Union concern,Incl. in 2021 survey,Acridotheres tristis,Illegal,213,0,,,1.0,180,0,,,33,0,,6.9,,,,,,,,,,,,,,,,,,,,,,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Ailanthus altissima,Illegal,193,12,6.2,9,12.9,166,4,2.4,11.5,27,8,29.6,26.3,,2,2,1,,1,1,1,,2,1,,,1,15,2,2,1,5,2,,3
Animals,Birds,Pet / aquaria,Union concern,Incl. in 2021 survey,Alopochen aegyptiacus,Illegal,213,1,0.5,21,2.0,180,0,,0.6,33,1,3.0,10.3,,1,,,,,,,,,,,,,1,1,,,,,,
Plants,Aquatic plants,Both,Union concern,Incl. in 2021 survey,Alternanthera philoxeroides,Illegal,397,0,,,0.3,339,0,,0.3,58,0,,,,,,,,,,,,,,,,,,,,,,,,
Animals,Aquatic vertebrates,Pet / aquaria,Union concern,Incl. in 2021 survey,Ameiurus melas,Illegal,213,2,0.9,15,0.5,180,1,0.6,0.6,33,1,3.0,,,,,,,,,,1,,,1,,,1,,,,,,1,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Andropogon virginicus,Illegal,193,0,,,0.5,166,0,,0.5,27,0,,,,,,,,,,,,,,,,,,,,,,,,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Asclepias syriaca,Illegal,193,13,6.7,7,12.9,166,7,4.2,10.4,27,6,22.2,36.8,1,,1,,,1,1,1,3,3,1,,,1,22,,,1,6,5,,10
Animals,Terrestrial mammals,Pet / aquaria,Union concern,Incl. in 2021 survey,Axis axis,Illegal,213,0,,,,180,0,,,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Baccharis halimifolia,Illegal,193,2,1.0,26,3.5,166,1,0.6,3.8,27,1,3.7,,,,,,,,,,,,1,,,1,1,,,,,,,1
Animals,Terrestrial inverts,Pet / aquaria,Proposed,,Brachyponera chinensis*,Not illegal (proposed for listing),213,0,,,,180,0,,,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Plants,Terrestrial plants,Horticulture,Proposed,,Broussonetia papyrifera*,Not illegal (proposed for listing),193,20,10.4,6,,166,14,8.4,,27,6,22.2,,,,3,,2,1,2,1,1,2,6,1,,1,19,,,2,2,4,1,10
Plants,Aquatic plants,Both,Union concern,Incl. in 2021 survey,Cabomba caroliniana,Illegal,397,8,2.0,20,4.9,339,6,1.8,4.4,58,2,3.4,8.7,,,1,,1,,1,1,1,,1,1,1,,2,,,,1,,1,
Animals,Terrestrial mammals,Pet / aquaria,Union concern,Incl. in 2021 survey,Callosciurus erythraeus,Illegal,213,0,,,,180,0,,,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Animals,Terrestrial mammals,Pet / aquaria,Union concern,Incl. in 2021 survey,Callosciurus finlaysonii,Illegal,213,1,0.5,21,2.0,180,0,,0.6,33,1,3.0,10.3,,,,1,,,,,,,,,,,1,,1,,,,,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Cardiospermum grandiflorum,Illegal,193,3,1.6,22,1.0,166,0,,0.5,27,3,11.1,5.3,,,,1,,1,,,,1,,,,,3,,1,1,,1,,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Celastrus orbiculatus,Not illegal (entry into force 2027),193,33,17.1,4,15.3,166,23,13.9,16.4,27,10,37.0,5.3,3,1,10,2,1,2,2,1,2,2,5,1,,1,17,1,3,3,1,4,1,4
Animals,Aquatic vertebrates,Pet / aquaria,Union concern,Incl. in 2021 survey,Channa argus,Illegal,213,2,0.9,15,0.5,180,2,1.1,,33,0,,3.4,,,,,,,2,,,,,,,,,,,,,,,
Animals,Aquatic inverts,Pet / aquaria,Proposed,,Cherax destructor*,Not illegal (proposed for listing),213,13,6.1,5,,180,9,5.0,,33,4,12.1,,1,,7,2,,,1,,,,,2,,,7,,3,,,,4,
Animals,Aquatic inverts,Pet / aquaria,Proposed,,Cherax quadricarinatus*,Not illegal (proposed for listing),213,24,11.3,3,,180,21,11.7,,33,3,9.1,,1,,6,,2,,8,1,2,1,,1,2,,3,,,,1,1,1,
Animals,Aquatic inverts,Pet / aquaria,Proposed,,Cipangopaludina chinensis*,Not illegal (proposed for listing),213,0,,,,180,0,,,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Plants,Terrestrial plants,Horticulture,Union concern,Incl. in 2021 survey,Cortaderia jubata,Illegal,193,0,,,0.5,166,0,,0.5,27,0,,,,,,,,,,,,,,,,,,,,,,,,
Plants,Terrestrial plants,Horticulture,Proposed,,Cortaderia selloana*,Not illegal (proposed for listing),193,102,52.8,1,,166,91,54.8,,27,11,40.7,,18,1,24,1,1,2,10,1,13,4,24,1,1,1,46,1,4,3,20,6,10,2
