Kingdom,Scientific name,Union concern status,Entry into force,Sector,"Common English name 
"
Animals,Acridotheres tristis,Union concern,15-Aug-19,Pet/Aquarium,Common myna
Animals,Alopochen aegyptiacus,Union concern,2-Aug-17,Pet/Aquarium,Egyptian goose
Animals,Ameiurus melas,Proposed,[2021],Pet/Aquarium,Black bullhead
Animals,Ameiurus nebulosus,Proposed,[2021],Pet/Aquarium,Brown bullhead
Animals,Axis axis,Proposed,[2021],Pet/Aquarium,Chital 
Animals,Callosciurus erythraeus,Union concern,3-Aug-16,Pet/Aquarium,Pallas' squirrel
Animals,Callosciurus finlaysonii,Proposed,[2021],Pet/Aquarium,Finlayson's squirrel
Animals,Channa argus,Proposed,[2021],Pet/Aquarium,Northern snakehead
Animals,Fundulus heteroclitus,Proposed,[2021],Pet/Aquarium,Mummichog 
Animals,Gambusia affinis,Proposed,[2021],Pet/Aquarium,Western mosquitofish
Animals,Gambusia holbrooki,Proposed,[2021],Pet/Aquarium,Eastern mosquitofish
Animals,Herpestes javanicus,Union concern,3-Aug-16,Pet/Aquarium,Small Asian mongoose
Animals,Lampropeltis getula,Proposed,[2021],Pet/Aquarium,Common kingsnake
Animals,Lepomis gibbosus,Union concern,15-Aug-19,Pet/Aquarium,Sunfish
Animals,Lithobates catesbeianus,Union concern,3-Aug-16,Pet/Aquarium,American bullfrog
Animals,Muntiacus reevesi,Union concern,3-Aug-16,Pet/Aquarium,Muntjac deer
Animals,Myocastor coypus,Union concern,3-Aug-16,Pet/Aquarium,Coypu
Animals,Nasua nasua,Union concern,3-Aug-16,Pet/Aquarium,Coati
Animals,Nyctereutes procyonoides,Union concern,2-Feb-19,Pet/Aquarium,Raccoon dog
Animals,Ondatra zibethicus,Union concern,2-Aug-17,Pet/Aquarium,Muskrat
Animals,Orconectes (Faxonius) limosus,Union concern,3-Aug-16,Pet/Aquarium,Spiny-cheek crayfish
Animals,Orconectes (Faxonius) rusticus,Proposed,[2021],Pet/Aquarium,Rusty crayfish
Animals,Orconectes (Faxonius) virilis,Union concern,3-Aug-16,Pet/Aquarium,Virile crayfish
Animals,Oxyura jamaicensis,Union concern,3-Aug-16,Pet/Aquarium,Ruddy duck
Animals,Pacifastacus leniusculus,Union concern,3-Aug-16,Pet/Aquarium,Signal crayfish
Animals,Perccottus glenii,Union concern,3-Aug-16,Pet/Aquarium,Amur sleeper
Animals,Plotosus lineatus,Union concern,15-Aug-19,Pet/Aquarium,Striped eel catfish
Animals,Procambarus clarkii,Union concern,3-Aug-16,Pet/Aquarium,Red swamp crayfish
Animals,Procambarus fallax f. virginalis (Procambarus virginalis),Union concern,3-Aug-16,Pet/Aquarium,Marbled crayfish
Animals,Procyon lotor,Union concern,3-Aug-16,Pet/Aquarium,Raccoon
Animals,Pseudorasbora parva,Union concern,3-Aug-16,Pet/Aquarium,Stone moroko
Animals,Pterois miles,Proposed,[2021],Pet/Aquarium,Common lionfish
Animals,Pycnonotus cafer,Proposed,[2021],Pet/Aquarium,Red-vented bulbul
Animals,Sciurus carolinensis,Union concern,3-Aug-16,Pet/Aquarium,Grey squirrel
Animals,Sciurus niger,Union concern,3-Aug-16,Pet/Aquarium,Fox squirrel
Animals,Solenopsis geminata,Proposed,[2021],Pet/Aquarium,Imported fire ant
Animals,Solenopsis invicta,Proposed,[2021],Pet/Aquarium,Red imported fire ant
Animals,Solenopsis richteri,Proposed,[2021],Pet/Aquarium,Black imported fire ant
