ID,species,status,Year listed,Entry into force (if delayed),Notes on Scientific names,English name,Kingdom,Taxa group,Sector,Trade 2018 survey species list,Found in trade 2018,Trade 2021 survey species list,Found in trade 2021,Trade survey list 2024
54,Acacia mearnsii,Proposed,Proposed,,,Black wattle,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Not considered,,Yes
55,Acacia saligna,Union concern,15-Aug-19,,In Reg as: Acacia saligna (Acacia cyanophylla),Golden wreath wattle,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
1,Acridotheres cristatellus,Proposed,Proposed,,,Crested myna,Animals,Birds,Pet / aquaria,Yes,Found in trade,Not considered,,Yes
2,Acridotheres tristis,Union concern,15-Aug-19,,,Common myna,Animals,Birds,Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
56,Ailanthus altissima,Union concern,15-Aug-19,,,Tree of heaven,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
3,Alopochen aegyptiacus,Union concern,2-Aug-17,,Alopochen aegyptiaca,Egyptian goose,Animals,Birds,Pet / aquaria,Excluded (unlikely to be traded),,Yes,Found in trade,Yes
57,Alternanthera philoxeroides,Union concern,2-Aug-17,,,Alligator weed,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Not found in trade,Yes,Found in trade,Yes
4,Ameiurus melas,Union concern,12-Jul-22,,,Black bullhead,Animals,Aquatic vertebrates,Pet / aquaria,Excluded (unlikely to be traded),,Yes,Found in trade,Yes
58,Andropogon virginicus,Union concern,15-Aug-19,,,Broomsedge bluestem,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Found in trade,Yes
59,Asclepias syriaca,Union concern,2-Aug-17,,,Common milkweed,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
5,Axis axis,Union concern,12-Jul-22,,,Chital ,Animals,Terrestrial vertebrates,Pet / aquaria,Yes,Not found in trade,Yes,Not found in trade,Yes
60,Baccharis halimifolia,Union concern,3-Aug-16,,,Eastern baccharis,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Found in trade,Yes
6,Brachyponera chinensis,Proposed,Proposed,,,Asian needle ant,Animals,Terrestrial inverts,Pet / aquaria,Not considered,,Not considered,,Yes
61,Broussonetia papyrifera,Proposed,Proposed,,,Paper mulberry,Plants,Terrestrial plants,Horticulture,Not considered,,Not considered,,Yes
62,Cabomba caroliniana,Union concern,3-Aug-16,,,Fanwort,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
7,Callosciurus erythraeus,Union concern,3-Aug-16,,,Pallas' squirrel,Animals,Terrestrial vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Not found in trade,Yes
8,Callosciurus finlaysonii,Union concern,12-Jul-22,,,Finlayson's squirrel,Animals,Terrestrial vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
63,Cardiospermum grandiflorum,Union concern,15-Aug-19,,,Balloon Vine,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
64,Celastrus orbiculatus,Union concern - delayed 2027,12-Jul-22,2-Aug-27,,Oriental bittersweet,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
9,Channa argus,Union concern,12-Jul-22,,,Northern snakehead,Animals,Aquatic vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
10,Cherax destructor,Proposed,Proposed,,,Common yabby,Animals,Aquatic inverts,Pet / aquaria,Yes,Found in trade,Not considered,,Yes
11,Cherax quadricarinatus,Proposed,Proposed,,,Australian red claw crayfish,Animals,Aquatic inverts,Pet / aquaria,Yes,Found in trade,Not considered,,Yes
12,Cipangopaludina chinensis (syn. Bellamya chinensis),Proposed,Proposed,,,Chinese mystery snail,Animals,Aquatic inverts,Pet / aquaria,Yes,Not found in trade,Not considered,,Yes
65,Cortaderia jubata,Union concern,15-Aug-19,,Cortaderia selloana subsp. jubata,Purple pampas grass,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
66,Cortaderia selloana,Proposed,Proposed,,,Pampas grass,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Not considered,,Yes
67,Crassula helmsii,Proposed,Proposed,,,New Zealand pigmyweed,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Not considered,,Yes
68,Delairea odorata (syn. Senecio mikanioides),Proposed,Proposed,,,Cape ivy,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Not considered,,Yes
69,Ehrharta calycina,Union concern,15-Aug-19,,,Perennial veldtgrass,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Not found in trade,Yes
70,Eichhornia crassipes,Union concern,3-Aug-16,,Pontederia crassipes,Water hyacinth,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
71,Elodea nuttallii,Union concern,2-Aug-17,,,Nuttall's waterweed,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
13,Faxonius immunis,Proposed,Proposed,,,Calico crayfish,Animals,Aquatic inverts,Pet / aquaria,Not considered,,Not considered,,Yes
14,Fundulus heteroclitus,Union concern - delayed 2024,12-Jul-22,2-Aug-24,,Mummichog ,Animals,Aquatic vertebrates,Pet / aquaria,Yes,Not found in trade,Yes,Found in trade,Yes
15,Gambusia affinis,Union concern,12-Jul-22,,,Western mosquitofish,Animals,Aquatic vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
16,Gambusia holbrooki,Union concern,12-Jul-22,,,Eastern mosquitofish,Animals,Aquatic vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
72,Gunnera tinctoria,Union concern,2-Aug-17,,,Chilean rhubarb,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
73,Gymnocoronis spilanthoides,Union concern,15-Aug-19,,,Senegal tea plant,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
74,Hakea sericea,Union concern,12-Jul-22,,,Needlebush,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Not found in trade,Yes
75,Heracleum mantegazzianum,Union concern,2-Aug-17,,,Giant hogweed,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Found in trade,Yes
76,Heracleum persicum,Union concern,3-Aug-16,,,Persian hogweed,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Not found in trade,Yes
77,Heracleum sosnowskyi,Union concern,3-Aug-16,,,Sosnowsky's hogweed,Plants,Terrestrial plants,Horticulture,Yes,Not found in trade,Yes,Not found in trade,Yes
17,Herpestes javanicus,Union concern,3-Aug-16,,"Herpestes auropunctatus Hodgson, 1836 (Urva auropunctata Hodgson, 1836)",Small Asian mongoose,Animals,Terrestrial vertebrates,Pet / aquaria,Yes,Not found in trade,Yes,Not found in trade,Yes
78,Humulus scandens,Union concern,15-Aug-19,,,Japanese hop,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
79,Hydrocotyle ranunculoides,Union concern,3-Aug-16,,,Floating pennywort,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
80,Impatiens glandulifera,Union concern,2-Aug-17,,,Indian balsam,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
81,Koenigia polystachya,Union concern,12-Jul-22,,,Himalayan knotweed,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
82,Lagarosiphon major,Union concern,3-Aug-16,,,Curly waterweed,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
18,Lampropeltis getula,Union concern,12-Jul-22,,"Lampropeltis getula s.l. (Linnaeus, 1766) OR Lampropeltis californiae (Blainville, 1835), Lampropeltis nigra (Yarrow, 1882), Lampropeltis getula (Linnaeus, 1766), Lampropeltis splendida (Baird & Girard, 1853), Lampropeltis holbrooki (Stejneger, 1902), Lampropeltis floridana (Blanchard, 1919), Lampropeltis nigrita (Zweifel & Norris, 1955), Lampropeltis meansi (Krysko & Judd, 2006)",Common kingsnake,Animals,Terrestrial vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Found in trade,Yes
19,Lepomis gibbosus,Union concern,15-Aug-19,,,Sunfish,Animals,Aquatic vertebrates,Pet / aquaria,Excluded (unlikely to be traded),,Yes,Found in trade,Yes
83,Lespedeza cuneata,Union concern,15-Aug-19,,in Reg as: Lespedeza cuneata (Lespedeza juncea var. sericea),Chinese bushclover,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
20,Lithobates catesbeianus,Union concern,3-Aug-16,,In Reg as: Lithobates (Rana) catesbeianus,American bullfrog,Animals,Aquatic vertebrates,Pet / aquaria,Yes,Found in trade,Yes,Not found in trade,Yes
84,Ludwigia grandiflora,Union concern,3-Aug-16,,,Water-primrose,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Found in trade,Yes,Not found in trade,Yes
85,Ludwigia peploides,Union concern,3-Aug-16,,,Floating primrose-willow,Plants,Aquatic plants,Horticulture & Pet / aquaria,Yes,Not found in trade,Yes,Found in trade,Yes
86,Lygodium japonicum,Union concern,15-Aug-19,,,Vine-like fern,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
87,Lysichiton americanus,Union concern,3-Aug-16,,,American skunk cabbage,Plants,Terrestrial plants,Horticulture,Yes,Found in trade,Yes,Found in trade,Yes
21,Marisa cornuarietis,Proposed,Proposed,,,Ramshorn apple snail,Animals,Aquatic inverts,Pet / aquaria,Yes,Found in trade,Not considered,,Yes
22,Misgurnus anguillicaudatus,Proposed,Proposed,,,Oriental weatherfish,Animals,Aquatic vertebrates,Pet / aquaria,Yes,Found in trade,Not considered,,Yes
23,Misgurnus bipartitus,Proposed,Proposed,,,Northern oriental weatherfish,Animals,Aquatic vertebrates,Pet / aquaria,Not considered,,Not considered,,Yes
24,Muntiacus reevesi,Union concern,3-Aug-16,,,Muntjac deer,Animals,Terrestrial vertebrates,Pet / aquaria,Excluded (unlikely to be traded),,Yes,Not found in trade,Yes
