Country,Platform,Sector,Union list status,Species,Species Taxa,Kingdom,Life stage being sold,Unit Price in EUR,Information on its IAS potential
Germany,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.115,-
France,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.184,No
France,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.6792,No
France,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.234,No
Netherlands,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.1475,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,Unknown,No
Spain,OR,Both,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.234,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.068,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.166666667,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,15,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.1475,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.02,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.088,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.169,No
Spain,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.0406,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,30,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,,No
Italy,OR,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,,No
Italy,OR,Both,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.2335,No
Italy,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Adults only,15,No
Italy,PP,Horticulture,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.0663,No
International,OR,Both,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.23412,No
International,OR,Both,Listed,Acacia saligna,Flowering plants (Didcots),Plant,Seeds only,0.0690654,No
Czechia,PP,Both,Listed,Acridotheres tristis,Birds,Animal,Adults only,,Unknown
France,PP,Pet/aquarium,Listed,Acridotheres tristis,Birds,Animal,Adults only,180,No
Czechia,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0.098175,No
Czechia,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,,No
Czechia,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0.098175,No
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Adults only,17.67140183,Yes
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Adults only,7.8987678,Yes
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Adults only,13.7445,No
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Adults only,6.4141,No
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,,Yes
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Adults only,8507.95,No
Germany,PP,Both,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Adults only,35,No
Germany,PP,Both,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0.099666667,
Germany,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0,
France,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Unknown,265,"""This tree has the unfortunate characteristic of producing a growth inhibitor that hinders the development or kills other plants located near it. Beware, it resprouts abundantly and can become invasive under certain favorable conditions."""
France,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Juveniles only,7.9,No
France,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0.099933333,No
France,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0.116266667,No
France,OR,Horticulture,Listed,Ailanthus altissima,Flowering plants (Didcots),Plant,Seeds only,0.117,No
