Country,Platform,Species,Regulation status,Taxa group,Kingdom,Sector survey list,Life stage being sold,Information on its IAS potential
Spain,OR,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds only,No
Spain,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds only,No
France,OR,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds only,Yes
France,OR,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds only,No
International,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,seeds,No
International,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,seeds,No
International,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,seeds,No
International,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,seeds,No
Italy,OR,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds,No
Italy,OR,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds,No
Italy,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds,No
Italy,PP,Acacia mearnsii,Proposed,Terrestrial plants,Plant,Horticulture,Seeds,No
Spain,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Seeds only,No
Spain,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Adults only,No
International,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,seeds,No
International,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,seeds,No (with disclaimer)
International,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,seeds,No (with disclaimer)
International,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,seeds,No (with disclaimer)
International,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,seeds,No
Italy,OR,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Adult,No
Italy,OR,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Adult,Yes
Italy,OR,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Adult,No
Italy,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Seeds,No
Italy,PP,Acacia saligna,Union concern,Terrestrial plants,Plant,Horticulture,Adult,No
