date,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2015-12-27,0,0,0,0,0,0,0,0,67.18212320397379,0,90.00267615553861,0,0,0,0,0,0,0,0,0,0,0,0,140.55326535076605,0,0,0,0
2016-01-03,0,0,0,0,0,0,0,0,86.97566680985497,0,61.85561926901167,0,0,0,0,0,0,0,0,0,0,0,0,93.81804566503816,0,0,0,0
2016-01-10,0,0,0,0,0,0,0,0,47.16963633565135,0,63.270119700649104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-17,0,0,0,0,0,0,0,0,48.246578223974936,0,51.45047490611324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-24,0,0,0,0,0,0,0,0,50.1002431313129,0,64.05804679451525,0,0,0,0,0,0,0,0,0,0,0,0,91.63048752930288,0,0,0,0
2016-01-31,0,0,0,0,0,0,0,0,38.845736141222545,0,79.3617016323696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,0,0,0,0,0,0,0,0,40.13390296961635,0,88.78371596277871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,0,0,0,0,0,0,0,0,40.87728429691926,0,100.28677366736608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,0,0,0,0,0,0,0,0,49.31003466885351,0,110.93442647611508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,0,0,0,0,0,0,0,0,26.19307490874295,0,106.21750804322286,14.252662798523088,0,0,0,0,12.841141772760237,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,0,0,0,0,0,0,0,0,63.270455994976835,0,101.11125433123796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,0,0,0,0,0,0,0,0,46.65471358322213,0,111.8577625320152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,0,0,0,0,0,0,0,0,39.72753957972397,0,106.95277916924644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,0,0,0,0,0,0,0,0,46.48555822917037,0,107.3613374635598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-03,0,0,0,0,0,0,0,0,36.94664239495805,0,104.9224774014496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.68206273816747
2016-04-10,0,0,0,0,0,0,0,0,63.30132762358182,0,124.86930115460248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,0,0,0,0,0,0,0,0,43.61231492883903,0,181.74648596424208,13.995381989609744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-24,0,0,0,0,0,0,0,0,62.85284281730944,0,121.501593240849,7.862305146297582,0,0,0,0,0,0,0,0,0,0,0,139.62261224848788,0,0,0,0
2016-05-01,0,75.15074256858132,0,0,0,0,0,0,117.94666097336729,0,341.32138184948593,0,0,0,0,0,0,0,0,0,0,0,0,97.08752376712596,0,0,0,0
2016-05-08,0,76.88030895738986,0,0,0,0,0,0,51.061151948797736,0,258.9067116055615,8.522416406307723,0,0,0,0,23.404925968504184,0,0,0,0,0,0,0,0,0,0,0
2016-05-15,0,0,0,0,0,0,0,0,137.32615523293907,0,296.8443743488781,205.8568901729604,0,0,0,0,0,0,0,0,0,0,0,120.04323125055268,0,0,0,0
2016-05-22,0,0,0,0,0,0,0,0,135.15281147771563,0,302.2823838923902,93.92578737082512,0,0,0,0,20.482745632245944,0,0,0,0,0,0,93.02971802916088,0,0,0,0
2016-05-29,0,0,0,0,0,0,0,0,126.8618459154586,0,186.85203903034477,37.01439384472927,0,0,0,0,44.09670291487807,0,0,0,0,0,0,0,0,0,0,0
