"date","country","species","mentions"
2015-12-27,"AT","Acacia saligna",0
2015-12-27,"BE","Acacia saligna",0
2015-12-27,"BG","Acacia saligna",0
2015-12-27,"CY","Acacia saligna",0
2015-12-27,"CZ","Acacia saligna",0
2015-12-27,"DE","Acacia saligna",0
2015-12-27,"DK","Acacia saligna",0
2015-12-27,"EE","Acacia saligna",0
2015-12-27,"ES","Acacia saligna",0
2015-12-27,"FI","Acacia saligna",0
2015-12-27,"FR","Acacia saligna",0
2015-12-27,"GB","Acacia saligna",0
2015-12-27,"GR","Acacia saligna",0
2015-12-27,"HR","Acacia saligna",0
2015-12-27,"HU","Acacia saligna",0
2015-12-27,"IE","Acacia saligna",0
2015-12-27,"IT","Acacia saligna",0
2015-12-27,"LT","Acacia saligna",0
2015-12-27,"LU","Acacia saligna",0
2015-12-27,"LV","Acacia saligna",0
2015-12-27,"MT","Acacia saligna",0
2015-12-27,"NL","Acacia saligna",0
2015-12-27,"PL","Acacia saligna",0
2015-12-27,"PT","Acacia saligna",0
2015-12-27,"RO","Acacia saligna",0
2015-12-27,"SE","Acacia saligna",0
2015-12-27,"SI","Acacia saligna",0
2015-12-27,"SK","Acacia saligna",0
2015-12-27,"AT","Acridotheres tristis",0
2015-12-27,"BE","Acridotheres tristis",0
2015-12-27,"BG","Acridotheres tristis",0
2015-12-27,"CY","Acridotheres tristis",0
2015-12-27,"CZ","Acridotheres tristis",0
2015-12-27,"DE","Acridotheres tristis",0
2015-12-27,"DK","Acridotheres tristis",0
2015-12-27,"EE","Acridotheres tristis",0
2015-12-27,"ES","Acridotheres tristis",0
2015-12-27,"FI","Acridotheres tristis",0
2015-12-27,"FR","Acridotheres tristis",0
2015-12-27,"GB","Acridotheres tristis",0
2015-12-27,"GR","Acridotheres tristis",0
2015-12-27,"HR","Acridotheres tristis",0
2015-12-27,"HU","Acridotheres tristis",0
2015-12-27,"IE","Acridotheres tristis",0
2015-12-27,"IT","Acridotheres tristis",0
2015-12-27,"LT","Acridotheres tristis",0
2015-12-27,"LU","Acridotheres tristis",0
2015-12-27,"LV","Acridotheres tristis",0
