"species","country","date","peak_height"
"Xenopus laevis","AT",2019-06-23,2016.6520940089
"Procyon lotor","AT",2019-12-29,2000.25490563391
"Vespa velutina nigrithorax","AT",2024-04-07,1878.58183696128
"Procyon lotor","AT",2020-12-27,1764.05310704983
"Procyon lotor","AT",2018-12-30,1657.61097559144
"Ailanthus altissima","AT",2024-05-26,1516.43995579211
"Procyon lotor","AT",2021-12-26,1466.87972567738
"Procyon lotor","AT",2020-03-29,1339.50421972766
"Procyon lotor","AT",2019-12-08,1280.90552828066
"Procyon lotor","AT",2018-06-10,1165.52401011666
"Vespa velutina nigrithorax","BE",2023-05-14,1873.10021953928
"Vespa velutina nigrithorax","BE",2022-08-07,1852.77453942255
"Vespa velutina nigrithorax","BE",2022-07-24,1669.48446243076
"Procyon lotor","BE",2019-12-29,1539.2954217792
"Vespa velutina nigrithorax","BE",2024-05-12,1483.40362801722
"Vespa velutina nigrithorax","BE",2023-09-03,1439.40390119735
"Vespa velutina nigrithorax","BE",2023-10-08,1202.00408514956
"Procyon lotor","BE",2018-12-30,1184.68547083664
"Vespa velutina nigrithorax","BE",2023-09-24,1109.43029473136
"Vespa velutina nigrithorax","BE",2019-05-19,1089.66714609408
"Procyon lotor","BG",2021-12-19,2411.28728089421
"Procyon lotor","BG",2018-12-30,832.608671480335
"Procyon lotor","BG",2020-12-27,831.212292579785
"Procyon lotor","BG",2022-05-22,816.977593550468
"Procyon lotor","BG",2019-12-29,709.608645903144
"Procyon lotor","BG",2024-04-14,642.636471636672
"Procyon lotor","BG",2024-04-28,628.170153200081
"Limnoperna fortunei","BG",2021-12-26,484.96660406482
"Procyon lotor","BG",2018-11-18,463.690254193554
"Procyon lotor","BG",2018-12-09,433.871011306731
"Lithobates catesbeianus","CY",2018-12-30,1380.63312139495
"Procyon lotor","CY",2019-12-29,1167.10268473886
"Asclepias syriaca","CY",2016-05-29,1067.95624052609
"Faxonius rusticus","CY",2017-09-03,1028.42236382819
"Celastrus orbiculatus","CY",2019-04-28,958.526579900015
"Axis axis","CY",2016-04-10,955.093981325626
"Baccharis halimifolia","CY",2019-06-16,946.644449736171
"Wasmannia auropunctata","CY",2020-12-06,927.309853721578
"Acridotheres tristis","CY",2020-12-27,921.191165333712
"Lespedeza cuneata","CY",2020-12-13,868.3702857432
"Procyon lotor","CZ",2020-12-27,2370.35017078902
"Vespa velutina nigrithorax","CZ",2023-10-08,2052.22276951864
"Procyon lotor","CZ",2018-12-30,1721.76769112002
"Myocastor coypus","CZ",2019-12-29,1369.96200118684
"Myocastor coypus","CZ",2018-05-27,1358.07979516652
"Vespa velutina nigrithorax","CZ",2019-06-23,1297.75938851095
"Nyctereutes procyonoides","CZ",2023-01-01,1147.5243550124
"Myocastor coypus","CZ",2020-12-27,1117.36963124318
"Procyon lotor","CZ",2019-12-29,1074.09040506856
"Vespa velutina nigrithorax","CZ",2024-08-04,1011.06981092872
"Procyon lotor","DE",2020-04-19,2550.5110353589
"Procyon lotor","DE",2020-12-27,2151.73572248098
"Procyon lotor","DE",2018-12-30,2037.86367248764
"Procyon lotor","DE",2019-12-29,1959.07802323651
"Procyon lotor","DE",2021-12-26,1490.66008358235
"Procyon lotor","DE",2020-11-15,1478.88852107414
"Procyon lotor","DE",2019-12-08,1460.12992706389
"Procyon lotor","DE",2021-01-10,1415.5715556451
"Procyon lotor","DE",2020-05-10,1349.95928633868
"Procyon lotor","DE",2020-10-25,1344.58365073665
"Nyctereutes procyonoides","DK",2018-09-23,1473.13038414008
"Nyctereutes procyonoides","DK",2018-11-04,1220.33564507272
"Nyctereutes procyonoides","DK",2021-05-23,1035.30315125579
"Nyctereutes procyonoides","DK",2018-02-18,993.799097245556
"Procyon lotor","DK",2019-09-29,858.028451728668
"Nyctereutes procyonoides","DK",2018-11-25,825.576107289536
"Nyctereutes procyonoides","DK",2023-11-19,810.53010189209
"Nyctereutes procyonoides","DK",2022-05-29,782.299762257281
"Nyctereutes procyonoides","DK",2019-07-07,776.850278129426
"Nyctereutes procyonoides","DK",2019-08-11,754.293182354117
"Procyon lotor","EE",2022-01-16,3175.03283621088
"Myocastor coypus","EE",2023-02-12,2366.09632154831
"Procyon lotor","EE",2019-12-29,1657.20415789829
"Impatiens glandulifera","EE",2022-08-07,1620.75050385557
"Nyctereutes procyonoides","EE",2019-12-29,1461.45342952746
"Procyon lotor","EE",2018-12-30,1437.27707353831
"Procyon lotor","EE",2019-02-24,1380.36607973082
"Procyon lotor","EE",2019-07-28,1192.10685628967
"Lygodium japonicum","EE",2016-11-20,1158.08000128122
"Procyon lotor","EE",2024-04-14,1142.84464240876
"Vespa velutina nigrithorax","ES",2018-07-15,2323.28790404757
"Vespa velutina nigrithorax","ES",2020-05-10,1260.86582613805
"Vespa velutina nigrithorax","ES",2018-08-19,995.414354284862
"Vespa velutina nigrithorax","ES",2019-08-11,978.725494450502
"Vespa velutina nigrithorax","ES",2019-08-25,976.464209827922
"Vespa velutina nigrithorax","ES",2020-09-20,948.2498589113
"Vespa velutina nigrithorax","ES",2019-07-28,896.58161397044
"Vespa velutina nigrithorax","ES",2019-06-02,812.13043809314
"Vespa velutina nigrithorax","ES",2018-09-23,765.359083676722
"Vespa velutina nigrithorax","ES",2020-08-09,747.557513187267
"Procyon lotor","FI",2023-06-25,4776.87590340976
"Myocastor coypus","FI",2016-03-27,4305.26526619384
"Heracleum persicum","FI",2017-07-02,2002.69624451884
"Nyctereutes procyonoides","FI",2017-07-09,1781.95914531213
"Procyon lotor","FI",2020-01-12,1625.67025581933
"Procyon lotor","FI",2018-12-30,1555.87489051897
"Lepomis gibbosus","FI",2023-06-11,1473.91415217695
"Procyon lotor","FI",2019-12-29,1454.73893602265
"Heracleum persicum","FI",2017-07-23,1283.69767114973
"Procyon lotor","FI",2020-12-27,1195.03675510455
"Vespa velutina nigrithorax","FR",2018-08-19,2472.58707022424
"Vespa velutina nigrithorax","FR",2018-09-16,2217.49558622483
"Vespa velutina nigrithorax","FR",2020-08-09,2105.3226914834
"Vespa velutina nigrithorax","FR",2020-05-03,1904.43708016755
"Vespa velutina nigrithorax","FR",2022-08-21,1662.42269133178
"Procyon lotor","FR",2018-12-30,1638.07817754637
"Vespa velutina nigrithorax","FR",2023-08-13,1459.58701596835
"Procyon lotor","FR",2019-12-29,1449.03872270165
"Vespa velutina nigrithorax","FR",2022-08-07,1354.06910601366
"Vespa velutina nigrithorax","FR",2023-09-03,1342.50632649441
"Vespa velutina nigrithorax","GB",2024-05-19,2181.69954871836
"Procyon lotor","GB",2019-05-26,1291.78218506227
"Procyon lotor","GB",2019-12-29,1066.07771914017
"Vespa velutina nigrithorax","GB",2023-09-03,973.293294337376
"Procyon lotor","GB",2018-06-10,926.592403912883
"Procyon lotor","GB",2018-12-30,845.419275474738
"Vespa velutina nigrithorax","GB",2024-06-02,767.951859745692
"Nyctereutes procyonoides","GB",2019-05-26,737.086424862008
"Procyon lotor","GB",2018-08-12,714.142112624565
"Procyon lotor","GB",2020-07-12,689.952579005569
"Procyon lotor","GR",2019-12-29,468.778406754512
"Procyon lotor","GR",2018-12-30,363.363697465665
"Procyon lotor","GR",2020-12-27,348.143300763114
"Procyon lotor","GR",2024-04-14,347.190821110492
"Procyon lotor","GR",2024-04-28,306.621129160494
"Procyon lotor","GR",2019-08-25,297.673512246786
"Procyon lotor","GR",2023-11-19,276.847602775216
"Procyon lotor","GR",2023-12-31,273.369275056912
"Procyon lotor","GR",2023-03-12,266.915875869577
"Procyon lotor","GR",2020-04-26,266.561504181075
"Myocastor coypus","HR",2020-12-13,4373.83763379839
"Ailanthus altissima","HR",2021-09-05,3229.93601324445
"Nyctereutes procyonoides","HR",2020-04-26,1440.34540547352
"Procyon lotor","HR",2021-04-25,948.75175429404
"Heracleum mantegazzianum","HR",2018-05-27,771.528452954101
"Procyon lotor","HR",2019-12-29,767.039262760992
"Myocastor coypus","HR",2024-11-24,739.807086628343
"Procyon lotor","HR",2021-12-26,706.08687947935
"Procyon lotor","HR",2020-12-27,571.580656429123
"Vespa velutina nigrithorax","HR",2016-09-04,570.377118806857
"Heracleum mantegazzianum","HU",2020-07-05,1541.86536469466
"Procyon lotor","HU",2019-12-29,1432.82413037263
"Procyon lotor","HU",2018-12-30,1387.38673399532
"Heracleum mantegazzianum","HU",2018-06-10,1207.94004313232
"Procyon lotor","HU",2020-12-27,1185.86419428382
"Heracleum mantegazzianum","HU",2023-07-02,882.769025752614
